,nombre_artista,nombre_cancion,año_lanzamiento,género_musical,tipo
290,Amenoskuarto,Primavera 2020 - Remasterizá,2020,rock,track
291,Tame Impala,Borderline,2020,rock,track
292,Tame Impala,One More Hour,2020,rock,track
293,Noan,Montaña Rusa,2020,rock,track
294,AC/DC,Kick You When You're Down,2020,rock,track
295,Tame Impala,Is It True,2020,rock,track
296,VOILÀ,Figure You Out,2020,rock,track
297,The Black Keys,Howlin' for You,2020,rock,track
298,AC/DC,Wild Reputation,2020,rock,track
299,Chubby Checker,The Twist,2020,rock,track
300,Bring Me The Horizon,Parasite Eve,2020,rock,track
301,Bring Me The Horizon,Ludens,2020,rock,track
302,Bring Me The Horizon,"Dear Diary,",2020,rock,track
303,YUNGBLUD,mars,2020,rock,track
304,Oliver Tree,Jerk,2020,rock,track
305,Foster The People,Lamb's Wool,2020,rock,track
306,Loathe,Is It Really You?,2020,rock,track
307,Various Artists,Esperando El Impacto,2020,rock,track
308,YUNGBLUD,cotton candy,2020,rock,track
309,Oliver Tree,Hurt,2020,rock,track
310,mgk,body bag (feat. YUNGBLUD & Bert McCracken of The Used),2020,rock,track
311,grandson,Dirty,2020,rock,track
312,Wanda Jackson,Funnel Of Love,2020,rock,track
313,Various Artists,Sencillamente,2020,rock,track
314,El Plan De La Mariposa,Túnel de la Vida,2020,rock,track
315,Luis Alberto Spinetta,Ya No Mires Atrás,2020,rock,track
316,Papa Roach,Last Resort - 2020,2020,rock,track
317,Various Artists,La chispa adecuada,2020,rock,track
318,Conociendo Rusia,Tu Encanto,2020,rock,track
319,Awaken I Am,Roses,2020,rock,track
320,Pearl Jam,Black - Live MTV Unplugged,2020,rock,track
321,Yusuf / Cat Stevens,"If You Want To Sing Out, Sing Out",2020,rock,track
322,All Time Low,Monsters (feat. Demi Lovato and blackbear),2020,rock,track
323,Tame Impala,Posthumous Forgiveness,2020,rock,track
324,Bunbury,Cualquiera en su sano juicio (se habría vuelto loco por ti),2020,rock,track
325,Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)",2020,rock,track
326,The Killers,My Own Soul’s Warning,2020,rock,track
327,Various Artists,Psycho Killer,2020,rock,track
328,O'Funk'illo,"Fiesta, Siesta Dub Remix",2020,rock,track
329,Falling In Reverse,Carry On,2020,rock,track
330,The Strokes,Not The Same Anymore,2020,rock,track
331,Good Kid,Aloe Lite,2020,rock,track
332,Panchiko,All They Wanted,2020,rock,track
333,Aunt Cynthia's Cabin,Which One Is the Jellyfish?,2020,rock,track
334,Five Finger Death Punch,A Little Bit Off,2020,rock,track
335,The Score,Carry On,2020,rock,track
336,Sun Room,Sol Del Sur,2020,rock,track
337,BULEGO,Ilun Dagoen Arren,2020,rock,track
338,The Neighbourhood,Cherry Flavoured,2020,rock,track
339,AlaDeMoska,Volaré,2020,rock,track
340,Bayronn Caicedo,El Pila Pila,2020,rock,track
341,Khruangbin,Summer Madness - Exclusive Cover Version,2020,rock,track
342,Snowy White,Another Blue Night,2020,rock,track
343,Marcus King,The Well,2020,rock,track
344,Las Pastillas del Abuelo,El Favor,2020,rock,track
345,Guns N' Roses,Sweet Child O' Mine,2020,rock,track
346,AC/DC,Realize,2020,rock,track
347,AC/DC,Witch's Spell,2020,rock,track
348,Sinkope,Sin Ti No Hay Color,2020,rock,track
349,Cobardes,Princesa en paro,2020,rock,track
350,Bring Me The Horizon,One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),2020,rock,track
351,Deftones,Genesis,2020,rock,track
352,Palaye Royale,Tonight Is The Night I Die,2020,rock,track
353,Ultravox,Vienna,2020,rock,track
354,The 1975,Me & You Together Song,2020,rock,track
355,AWOLNATION,The Best,2020,rock,track
356,Palaye Royale,Little Bastards,2020,rock,track
357,Solence,Blackout,2020,rock,track
358,Giant Rooks,Wild Stare,2020,rock,track
359,Pearl Jam,Dance Of The Clairvoyants,2020,rock,track
360,SiM,Devil in Your Heart,2020,rock,track
361,Ozzy Osbourne,Ordinary Man (feat. Elton John),2020,rock,track
362,R.E.M.,Losing My Religion,2020,rock,track
363,Metallica,Nothing Else Matters - Live,2020,rock,track
364,The Happy Fits,She Wants Me (To Be Loved),2020,rock,track
365,The Killers,Dying Breed,2020,rock,track
366,Tame Impala,It Might Be Time,2020,rock,track
367,YUNGBLUD,strawberry lipstick,2020,rock,track
368,Loathe,Screaming,2020,rock,track
369,Loathe,Two-Way Mirror,2020,rock,track
370,Deftones,Ohms,2020,rock,track
371,Slomosa,In My Mind's Desert,2020,rock,track
372,The Black Keys,The Only One,2020,rock,track
373,Bad Nerves,Baby Drummer,2020,rock,track
374,The Black Keys,Sinister Kid,2020,rock,track
375,Three Days Grace,Somebody That I Used to Know,2020,rock,track
376,Various Artists,La Leyenda Del Hada Y El Mago,2020,rock,track
377,ULTRA SUNN,Keep Your Eyes Peeled,2020,rock,track
378,Luis Alberto Spinetta,Ya No Mires Atrás,2020,rock,track
379,julie,flutter,2020,rock,track
380,Guns N' Roses,November Rain,2020,rock,track
381,The Black Keys,Too Afraid to Love You,2020,rock,track
382,Five Finger Death Punch,Blue On Black,2020,rock,track
383,The Black Keys,Next Girl,2020,rock,track
384,Thundermother,Driving In Style,2020,rock,track
385,Bunbury,Cualquiera en su sano juicio (se habría vuelto loco por ti),2020,rock,track
386,The Black Keys,She's Long Gone,2020,rock,track
387,Eyedress,Jealous,2020,rock,track
388,Tame Impala,Instant Destiny,2020,rock,track
389,Tame Impala,One More Year,2020,rock,track
390,Bayronn Caicedo,El Pila Pila,2020,rock,track
391,H.E.A.T,Dangerous Ground,2020,rock,track
392,Eilen Jewell,Green River,2020,rock,track
393,Mareux,Summertime,2020,rock,track
394,AC/DC,Through The Mists Of Time,2020,rock,track
395,AC/DC,Realize,2020,rock,track
396,Cory Marks,Outlaws & Outsiders,2020,rock,track
397,Aunt Cynthia's Cabin,Which One Is the Jellyfish?,2020,rock,track
398,Sinkope,No Fluye Nada,2020,rock,track
399,Snowy White,Another Blue Night,2020,rock,track
400,Deftones,Ceremony,2020,rock,track
401,Yusuf / Cat Stevens,Don't Be Shy,2020,rock,track
402,Shaka Ponk,Pure 90 (Rapping Queen),2020,rock,track
403,Of Monsters and Men,Visitor,2020,rock,track
404,Yusuf / Cat Stevens,Father And Son,2020,rock,track
405,The Killers,Caution - Radio Edit,2020,rock,track
406,Temples,Paraphernalia,2020,rock,track
407,Marilyn Manson,HALF-WAY & ONE STEP FORWARD,2020,rock,track
408,Bunbury,Hombre de acción,2020,rock,track
409,Vulkan,Blinding Ornaments,2020,rock,track
410,Deep Purple,Throw My Bones,2020,rock,track
411,The Killers,Blowback,2020,rock,track
412,Slomosa,Kevin,2020,rock,track
413,Toño y su Grupo Centella,Amor de Arena,2020,rock,track
414,All Them Witches,Enemy of My Enemy,2020,rock,track
415,Good Kid,Drifting,2020,rock,track
416,The Messenger Birds,Phantom Limb,2020,rock,track
417,Autumn Kings,Echo (Ready for War),2020,rock,track
418,Young Gun Silver Fox,Kids,2020,rock,track
419,The Rolling Stones,Living In A Ghost Town,2020,rock,track
420,Slomosa,There is Nothing New Under the Sun,2020,rock,track
421,Various Artists,Arthur's Theme (Best That You Can Do),2020,rock,track
422,Five Finger Death Punch,Darkness Settles In,2020,rock,track
423,Los Internacionales Nenes de la Cumbia,Tu Abandono,2020,rock,track
424,AC/DC,Shot In The Dark,2020,rock,track
425,Los Diablitos,Hechicera,2020,rock,track
426,Toño y su Grupo Centella,Donde Estás Amor,2020,rock,track
427,Tame Impala,On Track,2020,rock,track
428,Local Natives,Dark Days [Feat. Sylvan Esso],2020,rock,track
429,Tame Impala,Tomorrow's Dust,2020,rock,track
430,Various Artists,Me Resfrié en Brasil,2020,rock,track
431,Peach Pit,Shampoo Bottles,2020,rock,track
432,Tame Impala,Glimmer,2020,rock,track
433,Metallica,Blackened 2020,2020,rock,track
434,Khruangbin,Connaissais de Face,2020,rock,track
435,Vestron Vulture,Judas Effect,2020,rock,track
436,Guns N' Roses,Don't Cry (Original),2020,rock,track
437,AC/DC,Code Red,2020,rock,track
438,Elles Bailey,Don't Let the Green Grass Fool You,2020,rock,track
439,Chubby Checker,Dancin' Party,2020,rock,track
440,Jadu Heart,Another Life,2020,rock,track
441,Elvis Presley,Blue Suede Shoes,2020,rock,track
442,Aunt Cynthia's Cabin,Misty Woman,2020,rock,track
443,Young Gun Silver Fox,Baby Girl,2020,rock,track
444,Elvis Presley,Hound Dog,2020,rock,track
445,Sonny Landreth,Somebody Gotta Make A Move,2020,rock,track
446,AC/DC,Rejection,2020,rock,track
447,Elvis Presley,Don't Be Cruel,2020,rock,track
448,Chris Stapleton,Arkansas,2020,rock,track
449,Elvis Presley,"Return to Sender - From ""Girls! Girls! Girls!""",2020,rock,track
450,YUNGBLUD,acting like that (feat. Machine Gun Kelly),2020,rock,track
451,Royal Blood,Trouble’s Coming,2020,rock,track
452,Edwin Rosen,leichter//kälter,2020,rock,track
453,YUNGBLUD,weird!,2020,rock,track
454,All Them Witches,41,2020,rock,track
455,Yusuf / Cat Stevens,Don't Be Shy,2020,rock,track
456,Black Stone Cherry,Again,2020,rock,track
457,Shaka Ponk,Pure 90 (Rapping Queen),2020,rock,track
458,YUNGBLUD,teresa,2020,rock,track
459,I DONT KNOW HOW BUT THEY FOUND ME,Leave Me Alone,2020,rock,track
460,The Black Keys,Ten Cent Pistol,2020,rock,track
461,Letdown.,Harder To Breathe,2020,rock,track
462,julie,kit,2020,rock,track
463,POORSTACY,Hills Have Eyes,2020,rock,track
464,Ciro y los Persas,El Farolito (Acústico),2020,rock,track
465,Des Rocs,This is Our Life,2020,rock,track
466,NO CIGAR,1999,2020,rock,track
467,The Rumpled,The Gipsy Dancer,2020,rock,track
468,Sir Chloe,Sedona,2020,rock,track
469,Parcels,"IknowhowIfeel - from Hansa Studios, Berlin",2020,rock,track
470,Metallica,All Within My Hands - Live,2020,rock,track
471,Guns N' Roses,Welcome To The Jungle,2020,rock,track
472,Metallica,Blackened 2020,2020,rock,track
473,Rebounder,Japanese Posters,2020,rock,track
474,From Ashes to New,Scars that I'm Hiding,2020,rock,track
475,Leif Erikson,When Love Rings,2020,rock,track
476,Loathe,A Sad Cartoon,2020,rock,track
477,Sam Tinnesz,Bloodshot,2020,rock,track
478,Five Finger Death Punch,Living The Dream,2020,rock,track
479,Self Deception,Hell and Back,2020,rock,track
480,Elvis Presley,That's All Right,2020,rock,track
481,Tame Impala,Glimmer,2020,rock,track
482,Los Internacionales Nenes de la Cumbia,Tu Abandono,2020,rock,track
483,AC/DC,Systems Down,2020,rock,track
484,Vulkan,Blinding Ornaments,2020,rock,track
485,All Them Witches,The Children of Coyote Woman,2020,rock,track
486,AC/DC,No Man's Land,2020,rock,track
487,Elvis Presley,Mystery Train,2020,rock,track
488,Tame Impala,Tomorrow's Dust,2020,rock,track
489,Autumn Kings,Echo (Ready for War),2020,rock,track
490,flipturn,Glistening,2020,rock,track
491,Guns N' Roses,Knockin' On Heaven's Door,2020,rock,track
492,AC/DC,Money Shot,2020,rock,track
493,Elvis Presley,Burning Love,2020,rock,track
494,Elvis Presley,All Shook Up,2020,rock,track
495,Elvis Presley,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",2020,rock,track
496,Young Gun Silver Fox,Kids,2020,rock,track
497,Elles Bailey,Help Somebody (MWS Sessions),2020,rock,track
498,Steinar Ytrehus,MC Brady,2020,rock,track
499,The Sweet Serenades,Out of Time,2020,rock,track
500,Nessa Barrett,la di die (feat. Jaden Hossler),2021,rock,track
501,Royal Blood,Trouble’s Coming,2021,rock,track
502,VIOLENT VIRA,I Don't Care,2021,rock,track
503,Miley Cyrus,Nothing Else Matters,2021,rock,track
504,Twenty One Pilots,Choker,2021,rock,track
505,"Walls, Daniel Sabater",Partirme la cara,2021,rock,track
506,Various Artists,Stumblin' In,2021,rock,track
507,C. Tangana,Hong Kong,2021,rock,track
508,Twenty One Pilots,Saturday,2021,rock,track
509,Serú Girán,Seminare - 2021 Remasterizado,2021,rock,track
