,nombre_artista,nombre_canción,año_lanzamiento,género_musical,tipo
1294,Hot Tuna,Been So Long - Live,2020,rock,track
1295,Various Artists,Stuttering Blues,2020,rock,track
1296,Rodrigo Haddad,Before I Leave,2020,rock,track
1297,Various Artists,Ele é - Ao Vivo,2020,rock,track
1298,Pacemaker,Pacemaker,2020,rock,track
1299,Various Artists,Time Marches On,2020,rock,track
1300,DJ D ReDD,Landgrabbing,2020,techno,track
1301,Kevin Wesp,Silent Storm,2020,techno,track
1302,Zaphy,Sollicitans,2020,techno,track
1303,Uncode,Blue Morning Breath - original,2020,techno,track
1304,Various Artists,Frank - Original mix,2020,techno,track
1305,Various Artists,Erase,2020,techno,track
1306,Cosmic Gate's Wake Your Mind Radio,Exploration Of Space (WYM335) - Grum Remix,2020,techno,track
1307,Tonikattitude,The Karma of Brother,2020,techno,track
1308,Various Artists,Gastric Stroke - Marvin Erbe & MÆD MÆXX Remix,2020,techno,track
1309,Decal,Prove & Prove,2020,techno,track
1310,Various Artists,Bruja,2020,techno,track
1311,Various Artists,The Funk Baby - Original Mix,2020,techno,track
1312,Various Artists,Close Youre Eyes,2020,techno,track
1313,Duck Sandoval,You Can Kill the Brain - Original Mix,2020,techno,track
1314,Various Artists,Levit8,2020,techno,track
1315,Max Figueroa,MVNDVS II,2020,techno,track
1316,Various Artists,Decollo - Schulz Audio Rmx,2020,techno,track
1317,Løt.te,Eavesdropping Guoanbu Agent,2020,techno,track
1318,Tenzig,Everything Connected,2020,techno,track
1319,Marcelus,Regeneration,2020,techno,track
1320,Van Dexter,Bye Bye - Tito K. Remix,2020,techno,track
1321,Various Artists,Acid Space - Hell Driver Remix,2020,techno,track
1322,Various Artists,Mauersegler - Kaiser Souzai Remix,2020,techno,track
1323,Various Artists,Human Flow,2020,techno,track
1324,Alexey Kotlyar,Long Road,2020,techno,track
1325,Dolica,Miraculous - STR & Tim Tycoon Remix,2020,techno,track
1326,Carlos Perón,The Spanish Fly,2020,techno,track
1327,Di Rugerio,Kaan Luum,2020,techno,track
1328,Various Artists,Lift,2020,techno,track
1329,Various Artists,After Death,2020,techno,track
1330,Various Artists,Morpheus,2020,techno,track
1331,Various Artists,Strange Subject - Habits RMX,2020,techno,track
1332,Various Artists,Invasion,2020,techno,track
1333,Markus Schulz - Global DJ Broadcast,Angels,2020,techno,track
1334,Various Artists,Marrakesh - Kasper Koman Remix,2020,techno,track
1335,The Awen,Internal Error,2020,techno,track
1336,Various Artists,Frautonium Lombok - Ian Tregoning Version,2020,techno,track
1337,Van Czar,Virus - Radiorobotek & Mielafon Emotional Remix,2020,techno,track
1338,Various Artists,Just the Shadow of the Shape - Ikosaeder Reshape,2020,techno,track
1339,Funk D'void,Voyager - Orlando Voorn Remix,2020,techno,track
1340,Fermanz,Hidden Voice - Mixed,2020,techno,track
1341,Militiā,Brainbug,2020,techno,track
1342,Various Artists,An Angles Line - Ancient Dub Satori Rmx,2020,techno,track
1343,Franz Johann,Chords N Growl - IMIX Crossroad Remix,2020,techno,track
1344,Disturbed Traxx,Just Two,2020,techno,track
1345,Luca Kallweit,Fuck Humans,2020,techno,track
1346,Gotshell,Cepheus - Pulse Plant Remix,2020,techno,track
1347,Various Artists,Mental Simulation,2020,techno,track
1348,Various Artists,Sing to Me,2020,techno,track
1349,Various Artists,Mainz,2020,techno,track
1350,Trance Reserve,Everest - Katrin's World Remix,2020,trance,track
1351,Kevin Vega,Alpha Male,2020,trance,track
1352,Various Artists,Acting Space,2020,trance,track
1353,Muvy,Can't Stay Here - Extended Mix,2020,trance,track
1354,Aly & Fila,Million Voices - Extended Mix,2020,trance,track
1355,DJ Sakin,The End is the Beginning - Club Mix,2020,trance,track
1356,Taylor Torrence,Maelstrom - Mixed,2020,trance,track
1357,Various Artists,Strike,2020,trance,track
1358,Kenan Savrun,Sensors,2020,trance,track
1359,Various Artists,The Basic Idea - Extended Mix,2020,trance,track
1360,ANUQRAM,Sirocco - Heard Right Remix,2020,trance,track
1361,Alex Leavon,Field Of Dreams - Extended Mix,2020,trance,track
1362,Various Artists,Your Choice,2020,trance,track
1363,Various Artists,Say Goodbye,2020,trance,track
1364,Alberto Blanco,Eternal Sunshine - Rodrigo Baroni Remix,2020,trance,track
1365,Various Artists,Rainy Day - Original Mix,2020,trance,track
1366,Andrew Rayel,Kingdom (FYH221),2020,trance,track
1367,DJ Sakin,Green Wall - Club Mix,2020,trance,track
1368,Various Artists,Dreamer,2020,trance,track
1369,Various Artists,Wait,2020,trance,track
1370,Ori Uplift,Lift [UpOnly 344] - Mix Cut,2020,trance,track
1371,Various Artists,Can't Stay Here,2020,trance,track
1372,Various Artists,Sweet Desire,2020,trance,track
1373,Armin van Buuren ASOT Radio,"A State Of Trance (ASOT 990) - Interview with Marco V, Pt. 1",2020,trance,track
1374,Various Artists,Night Flight,2020,trance,track
1375,Various Artists,I See Future,2020,trance,track
1376,Ori Uplift,Kingdom **Exclusive Premiere** [UpOnly 390] - Sunyella & Anton van Sprundel Dub Mix - Mix Cut,2020,trance,track
1377,Ori Uplift,Blossom [UpOnly 347] - Mix Cut,2020,trance,track
1378,Alien Factory,Freak Tonight - 2020 Radio Mix,2020,trance,track
1379,Roman Messer Suanda Radio,Alone In The Dark (Suanda 253),2020,trance,track
1380,DJ Ratagnan,Inner Earth,2020,trance,track
1381,Various Artists,Is It The Farewell ?,2020,trance,track
1382,Armin van Buuren ASOT Radio,"A State Of Trance (ASOT 976) - ASOT 800 Recap, Pt. 1",2020,trance,track
1383,Rafael Osmo,Electra,2020,trance,track
1384,Z8phyR,Among the Stars,2020,trance,track
1385,Various Artists,Pandora - Temporarily Unknown Rmx,2020,trance,track
1386,Various Artists,The World Belongs To Us,2020,trance,track
1387,Various Artists,Stole - Extended Mix,2020,trance,track
1388,Various Artists,Bipolar,2020,trance,track
1389,Various Artists,Never Fade Away - Extended Mix,2020,trance,track
1390,Andrew Rayel,Format (FYH198),2020,trance,track
1391,Dylan Deck,Terminal Madness - Teiao Remix,2020,trance,track
1392,Gerard Bozyk,Journey to Avalon - Mixed,2020,trance,track
1393,Various Artists,Supernova Explosion,2020,trance,track
1394,Markus Schulz - Global DJ Broadcast,Two Souls - Andy Moor Remix,2020,trance,track
1395,Various Artists,Rush All Roads - Radio Edit,2020,trance,track
1396,Cortex Thrill,Deep Infinity (2020) - Remake,2020,trance,track
1397,Roman Messer Suanda Radio,Serenity (Suanda 211) - Eximinds Remix,2020,trance,track
1398,Roman Messer Suanda Radio,Dancing In The Dark (Suanda 217) - Alex M.O.R.P.H. Remix,2020,trance,track
1399,Ori Uplift,Rainbowland **Exclusive Premiere** [UpOnly 383] - AirLab7 Remix - Mix Cut,2020,trance,track
1400,Gopi Sundar,Neeye Neeye,2020,pop,track
1401,"Pradeep Sharma,Rahul Prajapati",Wah Re Babuniya,2020,pop,track
1402,Shimmy Levy,Meal 06,2020,pop,track
1403,Arabinda Muduli,Kaliare Mun Jiba Jaae,2020,pop,track
1404,Pawan Singh,Injection Lagawe Kamariye Me,2020,pop,track
1405,Waldo Cesar,Doce Engano,2020,pop,track
1406,Champe Khan,MANWAR RO PYALO,2020,pop,track
1407,Marcos & Belutti,Te Achei,2020,pop,track
1408,Riyan Raj,Poribortane,2020,pop,track
1409,Walter Losi,Il valzer dell'astronauta,2020,pop,track
1410,Armin van Buuren ASOT Radio,A State Of Trance (ASOT 950 - Part 2) - Outro,2020,pop,track
1411,Arvind Akela Kallu Ji,Batti Bujha Da Khela Sikha Da,2020,pop,track
1412,Koolade,The Wop,2020,pop,track
1413,BRACE THORN SHIRIMANI,No Stress,2020,pop,track
1414,Rohana Weerasinghe,Sihinaye Sudumal,2020,pop,track
1415,Danyel Gerard,Elle N'avait Que Dix-Sept Ans,2020,pop,track
1416,Durga Jasraj,Bhairuji Ghungaria Dhamkave,2020,pop,track
1417,Upplyfting,So Easy,2020,pop,track
1418,DAGAVAQ,We Made Peace,2020,pop,track
1419,Macan Band,2 Ta Setareh,2020,pop,track
1420,KOH,Let Me Think About It (feat. KIKUMARU),2020,pop,track
1421,Various Artists,Swearin' to God (Single Version),2020,pop,track
1422,Digeer Soren,Esi Say Esi,2020,pop,track
1423,El Charrito Negro,El Malevo,2020,pop,track
1424,Various Artists,Movie Star,2020,pop,track
1425,Ashish Verma,Mood Banal Ba,2020,pop,track
1426,BBT,You're So Beautiful（伴奏）,2020,pop,track
1427,Various Artists,Бастакы Тапталым,2020,pop,track
1428,Various Artists,Don't Worry Be Happy,2020,pop,track
1429,Bobby Charles,"Watch It, Sprocket",2020,pop,track
1430,Scrima,Meno Male,2020,pop,track
1431,Dương Triệu Vũ,Căn Phòng,2020,pop,track
1432,Raj Mawer,Saasu Na Boli,2020,pop,track
1433,Genial Au Japon,A Common Dislike,2020,pop,track
1434,Shoes,Tested Charms,2020,pop,track
1435,Various Artists,Зеркала - IPunkz extended Remix,2020,pop,track
1436,Aseema Panda,Mora Tu Heiki Nahu,2020,pop,track
1437,Various Artists,Keepin' It Gangsta,2020,pop,track
1438,Los Bacanes del Sur,Mi Verdadero Amor,2020,pop,track
1439,Nico Fidenco,Exodus,2020,pop,track
1440,Durga Jasraj,Ashapura Ne Manavan Aye,2020,pop,track
1441,Turkmen Mukamlary,Aýjemal,2020,pop,track
1442,Various Artists,Roll Roll - Cornelius House Controllers Mix,2020,pop,track
1443,Various Artists,Choice,2020,pop,track
1444,Thu Phương,Gió Đêm,2020,pop,track
1445,Milt Buckner,Jumpin' at the Woodside - Remastered,2020,pop,track
1446,Toyah,Poland (One Day on Earth) - Demo,2020,pop,track
1447,Various Artists,Here U R (AR293) - Fatum Remix,2020,pop,track
1448,Ranjeet Singh,Godhan Bo Bhauji Zindabad,2020,pop,track
1449,Various Artists,Snow magic,2020,pop,track
1450,Various Artists,Don't Kill the Whale,2020,rock,track
1451,Various Artists,Spooky,2020,rock,track
1452,The Crickets,Deborah,2020,rock,track
1453,Duane Eddy,Route #1 (The Twang's the Thang),2020,rock,track
1454,Various Artists,Bo Diddley's a Gunslinger - Live,2020,rock,track
1455,The Residents,Organism - Live in Amsterdam,2020,rock,track
1456,King Biscuit,Nothing but a Rope,2020,rock,track
1457,Esquíos,Quero Destruír,2020,rock,track
1458,GaGaGa SP,GASLIGHT,2020,rock,track
1459,Various Artists,Raining All the Time,2020,rock,track
1460,Various Artists,Cosmic Thing,2020,rock,track
1461,Matiu Colin,Canción para Mi Otro Yo,2020,rock,track
1462,Philip Rambow,A Star (In Her Own Right),2020,rock,track
1463,Slim Harpo,I'm A King Bee,2020,rock,track
1464,Various Artists,Aurora - Radio Edit,2020,rock,track
1465,Various Artists,WHOS THAT GIRL,2020,rock,track
1466,Jason Zac Band,Don't Turn Away,2020,rock,track
1467,見切り発車P,新しい朝,2020,rock,track
1468,Various Artists,Gunfight,2020,rock,track
1469,The Freeborn Brothers,Pieszczota (Skończoność),2020,rock,track
1470,TV's Kyle,Pumpkin Bread,2020,rock,track
1471,Pollyanna Frank,I Measure Every Grief - Remaster,2020,rock,track
1472,Alfredo Garcia,Aviones de papel,2020,rock,track
1473,Tick Toper,No Lo Abandones,2020,rock,track
1474,Face The Maybe,Hating Me (Live),2020,rock,track
1475,The Penguins,Hey Senorita,2020,rock,track
1476,Various Artists,Ele é - Ao Vivo,2020,rock,track
1477,Leonardo Gonçalves,O Muro,2020,rock,track
1478,Brenda Lee,Just Another Lie,2020,rock,track
1479,Papa Razzi and the Photogs,Jean-Paul Sartre Philosophical Ballad,2020,rock,track
1480,Los Terricolas,Dos Cosas,2020,rock,track
1481,Rubraltar,Simples Como Respirar,2020,rock,track
1482,Zumbis Do Espaço,Carcaça de um Outro Alguem (Ao Vivo),2020,rock,track
1483,Tregua,Un Gramo de Locura - En Directo,2020,rock,track
1484,Danny & The Juniors,Cha Cha Go Go,2020,rock,track
1485,Dumplings,Hold Me Back,2020,rock,track
1486,Orient Pearl,We Can Make It,2020,rock,track
1487,Various Artists,Rosemary Lane,2020,rock,track
1488,Various Artists,Just Like a Woman,2020,rock,track
1489,Bobby Darin,Was There a Call for Me - Remastered,2020,rock,track
1490,Various Artists,Sin to Win,2020,rock,track
1491,Various Artists,Kicks (Rerecorded),2020,rock,track
1492,Hot Tuna,Rock Me Baby - Live,2020,rock,track
1493,Various Artists,How's It Going to Be,2020,rock,track
1494,Various Artists,Indian Summer,2020,rock,track
1495,Various Artists,I and Identify,2020,rock,track
1496,Pasos Sin Rumbo,Valor o Cobardía,2020,rock,track
1497,Various Artists,Growing On Me,2020,rock,track
1498,Thula Borah,Skye Falling - Live,2020,rock,track
1499,Various Artists,Dancing In the Street,2020,rock,track
1500,Various Artists,Bar,2020,techno,track
1501,Bohumil,Fast Drive,2020,techno,track
1502,Various Artists,Traffic,2020,techno,track
1503,B/O/M,Brothers - Sebass Organic Remix,2020,techno,track
1504,Fabio Florido,Surge,2020,techno,track
1505,Aly & Fila,Apollo - Extended Mix,2020,techno,track
1506,Halfasser,2030 Cafe,2020,techno,track
1507,Various Artists,Dose Two - Original Mix,2020,techno,track
1508,Various Artists,Rise Of The Machines - Kimshies Remix,2020,techno,track
1509,Hernan Bass,Buscona,2020,techno,track
1510,Various Artists,Katamaran(reeno Denshi Remix),2020,techno,track
1511,MAAND,Sour Mash,2020,techno,track
1512,Ricky Cross,Breakout,2020,techno,track
1513,George Libe,Trainz,2020,techno,track
1514,Duck Sandoval,El hombre plastico,2020,techno,track
1515,Fermanz,Hidden Voice - Mixed,2020,techno,track
1516,Various Artists,Rockin The House,2020,techno,track
1517,Andres Gil,Grind - Marck D Remix,2020,techno,track
1518,Dronum,Early Morning Dub,2020,techno,track
1519,Marcelus,Regeneration,2020,techno,track
1520,Kevin Wesp,Analogue Noises,2020,techno,track
1521,Various Artists,Right Time - Mark Knight Remix,2020,techno,track
1522,Toxic D.N.A,Justice - Luka Daniello Remix,2020,techno,track
1523,Gabenz,Re-Connect - Original Mix,2020,techno,track
1524,Various Artists,Catch22,2020,techno,track
1525,Various Artists,Flying Area - Original Mix,2020,techno,track
1526,Various Artists,Meteor - Original Mix,2020,techno,track
1527,Various Artists,An Angel's Line - G.U.A Rmx,2020,techno,track
1528,EASTEL,SKIN & BONES II,2020,techno,track
1529,Manic Brothers,Jupiterz - Original Mix,2020,techno,track
1530,Duck Sandoval,You Can Kill the Brain - Original Mix,2020,techno,track
1531,Cloud 9,In My Head,2020,techno,track
1532,Van Dexter,Lexus,2020,techno,track
1533,Marek Bois,TSYCHO,2020,techno,track
1534,Dok & Martin,Explosion,2020,techno,track
1535,Various Artists,Introvertical - dubtommy Rmx,2020,techno,track
1536,Einox,Pulse Canvas,2020,techno,track
1537,Giampi Spinelli,Mebreatera,2020,techno,track
1538,Applescal,Synthlove (_The Sky),2020,techno,track
1539,Various Artists,Cause When They Met It Was Murder,2020,techno,track
1540,Various Artists,Reason - Club Mix,2020,techno,track
1541,Various Artists,Tanzania,2020,techno,track
1542,Various Artists,Man Versus Man - Buchecha Remix,2020,techno,track
1543,Carlos Perón,The Spanish Fly,2020,techno,track
1544,Various Artists,Andromeda,2020,techno,track
1545,Hertz,Beatdisaster 512 (B) (Hertzdisaster 2),2020,techno,track
1546,Various Artists,Rhythm,2020,techno,track
1547,Gotshell,Cepheus - Pulse Plant Remix,2020,techno,track
1548,Funk D'void,Voyager - Orlando Voorn Remix,2020,techno,track
1549,Speaker Music,Super Predator,2020,techno,track
1550,Andrew Rayel,All For Love (FYH208) [Favorite Of The Moment],2020,trance,track
1551,Various Artists,Contamination - Ciro Parcheri Remix,2020,trance,track
1552,Tritonal Tritonia Radio,"Tritonia (Tritonia 326) - Coming Up, Pt. 2",2020,trance,track
1553,Various Artists,The Magic,2020,trance,track
1554,Various Artists,Reverie,2020,trance,track
1555,DoctorSpook,Nirvana - Progressive Goa Mix Edit,2020,trance,track
1556,Various Artists,Advance - Greenage Remix,2020,trance,track
1557,Various Artists,Sunday Sunrise,2020,trance,track
1558,Various Artists,Never Let Me Down,2020,trance,track
1559,Aly & Fila,The Sun Will Rise Again (FSOE 642) - Paul Denton Remix,2020,trance,track
1560,Various Artists,M [Metropolis] - Extended Mix,2020,trance,track
1561,Various Artists,One Way - Original Mix,2020,trance,track
1562,Atomic Pulse,Ready to Fly II - Original Mix,2020,trance,track
1563,Various Artists,Cats and Dreams - Lezcano Remix,2020,trance,track
1564,Aly & Fila,Telescope (FSOE 637),2020,trance,track
1565,Various Artists,Carte Blanche (AR301),2020,trance,track
1566,Various Artists,Let This Go - PARITY Radio Edit,2020,trance,track
1567,Various Artists,Love Will Heal You,2020,trance,track
1568,Rafael Osmo,Electra,2020,trance,track
1569,Urbaniza,Local Host - Mixed,2020,trance,track
1570,Roman Messer Suanda Radio,Night & Day (Suanda 248) - Roman Messer Remix,2020,trance,track
1571,Various Artists,Serenity - Eximinds Remix,2020,trance,track
1572,Various Artists,The Electric Eclectic,2020,trance,track
1573,Alex Leavon,Field Of Dreams - Extended Mix,2020,trance,track
1574,Cosmic Gate's Wake Your Mind Radio,Daenerys (Throwback) [WYM348],2020,trance,track
1575,Subconscious Tales,Dharma,2020,trance,track
1576,Tom Wax,What Makes You Happy? - Club Mix,2020,trance,track
1577,Maykel Piron,Seven Cities (ARNXT033) - Tom Staar Remix,2020,trance,track
1578,Various Artists,Human - Extended Mix,2020,trance,track
1579,Various Artists,Saltwater - Kevin de Vries Remix,2020,trance,track
1580,Arthur Volt,Find Me,2020,trance,track
1581,Various Artists,Home & You - Radio Edit,2020,trance,track
1582,Gerard Bozyk,Journey to Avalon - Mixed,2020,trance,track
1583,Cosmic Gate's Wake Your Mind Radio,Paradigm (WYM317),2020,trance,track
1584,Danilo Marinucci,Stargate - Enertia-Sound Remix,2020,trance,track
1585,Regular Citizen,Think Less,2020,trance,track
1586,Various Artists,Fever 2019 - Extended Mix,2020,trance,track
1587,Various Artists,Much Better - Oscar Cano Remix,2020,trance,track
1588,Various Artists,Voyager,2020,trance,track
1589,Various Artists,Never Fade Away - Extended Mix,2020,trance,track
1590,Various Artists,The World Belongs To Us,2020,trance,track
1591,Various Artists,Stole - Extended Mix,2020,trance,track
1592,Various Artists,A Day in Africa - Marius Drescher Remix,2020,trance,track
1593,Various Artists,Just for You,2020,trance,track
1594,Steve Allen,Silhouette (RNMS35) - Steve Allen 2019 Respray,2020,trance,track
1595,R.A.Z,Beyond Imagination,2020,trance,track
1596,Various Artists,Shelby - Rick Pier O'Neil Remix,2020,trance,track
1597,Elite Electronic,Hyperspeed,2020,trance,track
1598,Various Artists,Night After Night,2020,trance,track
1599,Jelly For The Babies,Talas - Mario Neha Remix,2020,trance,track
1600,Phool Singh Rawat,Byan Rasili,2020,pop,track
1601,Malika Egamberdiyeva,Meni sevarmiding,2020,pop,track
1602,Fruto Sensual,Crocodilo O Animal Do Pará,2020,pop,track
1603,Moacyr Franco,Tudo Que Vejo e Você,2020,pop,track
1604,Various Artists,Сало в шоколаді,2020,pop,track
1605,Burrito Panza,Sociedades Ficticias,2020,pop,track
1606,King James,2 Samuel (Part 3).6 - The Holy Bible,2020,pop,track
1607,Ağadadaş Ağayev,Bax Mənə,2020,pop,track
1608,Kaysee,Xunyo - Tavreed Remix,2020,pop,track
1609,Various Artists,Lingo,2020,pop,track
1610,Topon Doley,Dibang Ane,2020,pop,track
1611,Moacyr Franco,Por Amor,2020,pop,track
1612,Khesari Lal Yadav,Bhakti Mein Pagal,2020,pop,track
1613,Various Artists,I Got U (Kiss Me Under The Mistletoe),2020,pop,track
1614,Stelios Kazantzidis,Tha Klapsoun Manes Ki Aderfes,2020,pop,track
1615,Los Raros,El Borrachito,2020,pop,track
1616,Olivia Lewis,"Hoofdstuk 147 - King 4 - Deel 4, Deel 4",2020,pop,track
1617,Asif Akbar,Bondhu Tor Khobor Kire,2020,pop,track
1618,Various Artists,Get Me Outta Here,2020,pop,track
1619,Various Artists,"Bum Bhola Pe Jalwa Chadhaay Diha (From ""Sawari Shiv Ke Devghar Chali"")",2020,pop,track
1620,Sudesh Kumari,Bhana Bart Gaya,2020,pop,track
1621,Lolita Garrido,Quisiera Ser - Remastered,2020,pop,track
1622,Phool Singh Rawat,Gujari Chala Ye Chala Ye,2020,pop,track
1623,Jose Asunción,Hallelujah,2020,pop,track
1624,Various Artists,Sabke Nazariya Humar Dhori Aaori,2020,pop,track
1625,Bruderschaft Orchester,Mauretanien - Nachid al-watani al-Mauritani - Nationalhymne 2017 (Instrumental),2020,pop,track
1626,Various Artists,Podstanar,2020,pop,track
1627,Ranjeet Singh,Oothlali Lagila Ke Ka Kaam Ba,2020,pop,track
1628,Shital Thakor,Hala Vala Nandna Lala - Original,2020,pop,track
1629,George Jones,Big Harlan Taylor,2020,pop,track
1630,Mat Ngoc,Liên Khúc Đêm Đô Thị - Sài Gòn,2020,pop,track
1631,Saka Trương Tuyền,Nguời Tình Dễ Thương,2020,pop,track
1632,Various Artists,The Freeze,2020,pop,track
1633,Taisia Povaliy,Панно кохання,2020,pop,track
1634,Jack Simard,Je reste là,2020,pop,track
1635,Otis Williams & The Charms,Walkin' After Midnight,2020,pop,track
1636,Johnny Reimar,Fødselaren (Bravo Bravo),2020,pop,track
1637,Shilpa Bidawat,Bichhua - Original,2020,pop,track
1638,Yosef Daniel,Rostro a Rostro,2020,pop,track
1639,Kavita Yadav,"Jotai Tune Achhi Kiya, Pt. 1",2020,pop,track
1640,Various Artists,Sva Su Moja Proljeća U Meni,2020,pop,track
1641,Brian Hyland,Love Me Tender,2020,pop,track
1642,Various Artists,Termine 2019,2020,pop,track
1643,Turn N Fire,Colin's Song,2020,pop,track
1644,Holly Dunn,Strangers Again - Rerecorded,2020,pop,track
1645,Octorama,Buscando Sonhos,2020,pop,track
1646,Rodzeng,RSK,2020,pop,track
1647,Megas,(Borðið þér) orma frú Norma,2020,pop,track
1648,Barbara Dickson,Disremember Me,2020,pop,track
1649,Jean Pierre Magnet,El Rápido,2020,pop,track
1650,Various Artists,Demon Choirs,2020,rock,track
1651,Зимовье Зверей,Средневековый город,2020,rock,track
1652,Various Artists,A Horse with No Name,2020,rock,track
1653,Various Artists,No te creas,2020,rock,track
1654,Buck Owens,I Will Love You Always,2020,rock,track
1655,Billy Fury,Don't Say It's over (Stereo) - Remastered,2020,rock,track
1656,Johnny Tillotson,Take Good Care of Her - Remastered,2020,rock,track
1657,Leopold and His Fiction,It's How I Feel (Free),2020,rock,track
1658,Her Neyse,Aynı Renk,2020,rock,track
1659,Saiko,Es Tan Lógico (En Vivo),2020,rock,track
1660,Los Silver,Siempre Lloraba (En Vivo),2020,rock,track
1661,Amit Erez,Everything's Right,2020,rock,track
1662,Hell Lotus,Mulungu,2020,rock,track
1663,Chalk Dinosaur,Electric Friends,2020,rock,track
1664,Hot Tuna,Hit Single #1 - Live - Set 2,2020,rock,track
1665,A Signal In The Static,pictor,2020,rock,track
1666,Various Artists,I Wanna Be Your Dog,2020,rock,track
1667,Birth Order,Heat and Pressure,2020,rock,track
1668,Ronnie Hawkins,Forty Days (To Come Back Home),2020,rock,track
1669,Jorma Kaukonen,In the Kingdom - Live - Show 1,2020,rock,track
1670,Rival Summers,Still Here,2020,rock,track
1671,Urania,Bittersweet,2020,rock,track
1672,Jack Scott,"Take My Hand, Precious Lord",2020,rock,track
1673,Of the Vine,Left Alone,2020,rock,track
1674,Various Artists,Take A Chance On Me,2020,rock,track
1675,Various Artists,Nunca Me Dejes,2020,rock,track
1676,Aaron Nigel Smith,If I Had a Hammer - Live,2020,rock,track
1677,Lloyd Price,Time After Time,2020,rock,track
1678,Alan Davey,Flight to Andromeda - 1987 Version,2020,rock,track
1679,The Fifth Estate,When I'm Gone,2020,rock,track
1680,Various Artists,El cariño que perdí,2020,rock,track
1681,Mokadelic,Màimei Furtrèi Bìuiam Didèst,2020,rock,track
1682,Young Gari,Nisamina,2020,rock,track
1683,Los Terricolas,Hoy Te Confieso,2020,rock,track
1684,Various Artists,Tired,2020,rock,track
1685,"The Odd Man Who Sings About Poop, Puke and Pee",The Rovonda Poop Song,2020,rock,track
1686,Lia Hide,Last Night I Dreamt You Died - Incirrina Remix,2020,rock,track
1687,TV's Kyle,Snowman,2020,rock,track
1688,Various Artists,In the Meantime,2020,rock,track
1689,Upplyfting,So Easy,2020,rock,track
1690,LAUMA,Ulkona,2020,rock,track
1691,GOOD4NOTHING,Wake Up!!,2020,rock,track
1692,Various Artists,Sentinel,2020,rock,track
1693,Acmme Skateband,Kill Myself,2020,rock,track
1694,Various Artists,Seventeen,2020,rock,track
1695,Various Artists,Látigo,2020,rock,track
1696,Baboon Ha,Caramel,2020,rock,track
1697,Various Artists,I Can't Tell the Bottom from the Top,2020,rock,track
1698,Various Artists,The Ritual,2020,rock,track
1699,Various Artists,1000 Megatons,2020,rock,track
1700,REBEL YELL,Action,2020,techno,track
1701,TrixX K,Subway,2020,techno,track
1702,Boom Merchant,No Justice No Peace,2020,techno,track
1703,Carsten Halm,Dream,2020,techno,track
1704,M Bootyspoon,"My House, My Rules (Sweaty!)",2020,techno,track
1705,Various Artists,Buscona,2020,techno,track
1706,Amber Long,Sweet Harmony - Armandhe Remix - Mixed,2020,techno,track
1707,Dan Morris,Fojonco - Max Foley Remix,2020,techno,track
1708,Carara,Children of Zeus,2020,techno,track
1709,DP-6,Genotype,2020,techno,track
1710,Roman Faero,Detonator - Original Mix,2020,techno,track
1711,ARDM,Anai,2020,techno,track
1712,Surt,Fast Transition,2020,techno,track
1713,Dj Juri,Grand Canyon,2020,techno,track
1714,Various Artists,Brothers - GIGEE Remix,2020,techno,track
1715,Various Artists,Phazon,2020,techno,track
1716,One Million Toys,Ternary Binaries - Nomads Of Time Remix,2020,techno,track
1717,WLDERZ,Astray - Jeff Rushin Remix,2020,techno,track
1718,DREIAN,Past Closed,2020,techno,track
1719,Sub Washer,Road Killer - Original Stick,2020,techno,track
1720,Various Artists,Idealizing - Unus Emre Rmx,2020,techno,track
1721,Terra4Beat,Put in On - Volodia Rizak Remix,2020,techno,track
1722,Modular Phaze,Blessed Misery - Original Mix,2020,techno,track
1723,Various Artists,Precognition,2020,techno,track
1724,Julian Brand,Burnt Alone,2020,techno,track
1725,Eric Lune,Hear the Wind Sing,2020,techno,track
1726,Aka Carl,This Sound,2020,techno,track
1727,Various Artists,Decollo - Schulz Audio Rmx,2020,techno,track
1728,DJ Emerson,Booty Loops,2020,techno,track
1729,Various Artists,The Bog,2020,techno,track
1730,Tenzig,Everything Connected,2020,techno,track
1731,Various Artists,Gastric Stroke - Marvin Erbe & MÆD MÆXX Remix,2020,techno,track
1732,Various Artists,Wanna Get Home,2020,techno,track
1733,Dimi Angélis,Derailed,2020,techno,track
1734,Various Artists,Close Youre Eyes,2020,techno,track
1735,Garett White,Sirens,2020,techno,track
1736,Phunk Investigation,Acid Slider - Kloseb Remix,2020,techno,track
1737,Atze Ton,Break It Down - Original Mix,2020,techno,track
1738,Various Artists,Recurrent Neurotic Network,2020,techno,track
1739,Morfin Ma'fer,Ambient 6,2020,techno,track
1740,Various Artists,Beat To The Punch,2020,techno,track
1741,Various Artists,The Rolls - Funk D'Void Remix,2020,techno,track
1742,Various Artists,Move Me - Gabriel Louis Grind Remix,2020,techno,track
1743,Mari Mattham,Invasor,2020,techno,track
1744,Various Artists,Snow Flakes,2020,techno,track
1745,Various Artists,Back to the old school - Original Stick,2020,techno,track
1746,Van Dexter,Lexus,2020,techno,track
1747,Various Artists,The Angel's Kiss,2020,techno,track
1748,Morttagua,Be Again,2020,techno,track
1749,Trak 1,For This - DJ Skye Remix,2020,techno,track
1750,Various Artists,Home & You - Radio Edit,2020,trance,track
1751,Various Artists,Just for You,2020,trance,track
1752,Various Artists,Fever 2019 - Extended Mix,2020,trance,track
